linkStart,linkEnd,capacity
R3457,R3449,212121
R2057,R3392,212121
R3691,R3372,212121
R3691,R3403,212121
R2057,R1532,212121
R3392,R3372,212121
R2428,R3860,212121
R2057,R1321,212121
R3536,R1993,212121
R1532,R2951,212121
R2153,R2057,212121
R3313,R2264,212121
R2951,R4114,212121
R4114,R3591,212121
R2951,R4130,212121
R4114,R2951,212121
R3449,R3457,212121
R2057,R4114,212121
R3860,R2428,212121
R1434,R3195,212121
R2057,R2153,212121
R3240,R3195,212121
R3240,R1992,212121
R3591,R2153,212121
R3372,R3691,212121
R3591,R1321,212121
R1532,R3403,212121
R3591,R4114,212121
R4114,R1419,212121
R2264,R3536,212121
R2264,R3313,212121
R2153,R1321,212121
R3935,R3403,212121
R2428,R1184,212121
R3591,R3392,212121
R2752,R2264,212121
R3536,R2264,212121
R3591,R1532,212121
R3935,R1684,212121
R1321,R2153,212121
R2752,R3372,212121
R3457,R3860,212121
R4114,R2057,212121
R1993,R3595,212121
R4114,R4130,212121
R1993,R3313,212121
R3372,R3392,212121
R3372,R2752,212121
R3392,R3664,212121
R1993,R4040,212121
R3392,R3591,212121
R3392,R2951,212121
R1993,R3536,212121
R3392,R2057,212121
R2951,R1532,212121
R4130,R4114,212121
R3595,R1993,212121
R1184,R2428,212121
R1184,R3457,212121
R3664,R3392,212121
R3195,R3240,212121
R3195,R1434,212121
R1321,R3591,212121
R2264,R2752,212121
R2951,R3392,212121
R3664,R4130,212121
R1532,R2057,212121
R3403,R3935,212121
R3457,R1184,212121
R4130,R3664,212121
R3403,R1532,212121
R1419,R4114,212121
R1321,R2057,212121
R3403,R3691,212121
R4130,R2057,212121
R4040,R1993,212121
R1684,R3935,212121
R4130,R2951,212121
R4130,R4291,181818
R2264,R1437,181818
R2264,R2834,181818
R1321,R3822,181818
R2264,R3067,181818
R2834,R1993,181818
R4291,R1538,181818
R3403,R1211,181818
R3195,R2264,181818
R3935,R2429,181818
R4291,R4114,181818
R4291,R4130,181818
R1321,R1874,181818
R2834,R2264,181818
R3999,R3392,181818
R2264,R2032,181818
R2153,R1874,181818
R3372,R1211,181818
R3067,R2264,181818
R3392,R3999,181818
R1992,R1434,181818
R2951,R1321,181818
R2951,R2153,181818
R1419,R4063,181818
R1419,R4130,181818
R1419,R3715,181818
R1061,R3457,181818
R3595,R3715,181818
R3945,R2224,181818
R2264,R3195,181818
R3715,R1419,181818
R1532,R2337,181818
R2428,R1123,181818
R3392,R2337,181818
R1532,R3999,181818
R1437,R1993,181818
R1437,R2264,181818
R1538,R4291,181818
R3945,R3289,181818
R3067,R1993,181818
R2337,R3392,181818
R2032,R1993,181818
R2032,R2264,181818
R3945,R1434,181818
R3945,R3240,181818
R3999,R1532,181818
R4130,R1419,181818
R2337,R1532,181818
R3449,R4063,181818
R3715,R1772,181818
R4063,R3449,181818
R4063,R1772,181818
R4063,R3670,181818
R3715,R3670,181818
R2428,R1784,181818
R1321,R3664,181818
R4130,R3591,181818
R3822,R1321,181818
R3822,R2153,181818
R1874,R1321,181818
R2153,R3822,181818
R1874,R2153,181818
R1784,R2428,181818
R1993,R2032,181818
R1993,R1437,181818
R1993,R3067,181818
R1993,R2834,181818
R4114,R3664,181818
R1334,R2224,181818
R1334,R3289,181818
R2428,R3200,181818
R1684,R2752,181818
R1211,R3403,181818
R1211,R3372,181818
R1772,R3715,181818
R3664,R4114,181818
R1321,R2951,181818
R1772,R4063,181818
R3664,R2153,181818
R3664,R1321,181818
R4063,R1419,181818
R4114,R4291,181818
R2153,R2951,181818
R1434,R1992,181818
R2224,R1334,181818
R1123,R2428,181818
R2224,R3945,181818
R3670,R4063,181818
R3240,R3945,181818
R2153,R3664,181818
R3591,R4130,181818
R3200,R2428,181818
R3670,R3715,181818
R3457,R1061,181818
R3289,R3945,181818
R3715,R3595,181818
R2429,R3935,181818
R3289,R1334,181818
